51300015513,gca,257,18
51300065611,gdg,102,81
51300107484,aca,184,241
51300151841,fgg,73,10
51300164526,gag,108,235
51300181668,ead,194,52
51300190341,ace,91,87
51300231027,gcb,127,195
51300243950,dgg,226,241
51300251349,gbf,107,297
51300268539,ace,47,89
51300327917,bba,252,198
51300429988,fbe,75,13
51300459329,dbd,155,144
51300462383,cgg,21,28
51300463351,cce,38,7
51300464602,dgf,47,26
51300480906,cga,149,101
51300566836,egc,123,188
51300609504,geg,156,86
51300627664,ggf,253,159
51300651412,aec,139,43
51300679635,ada,143,51
51300699464,eea,123,179
51300708977,bge,63,266
51300772599,fef,66,292
51300811219,aad,70,286
51300836286,aeg,14,147
51300885881,eeb,212,209
51300959734,geb,161,190
51300962170,bge,6,266
51300971587,gde,155,253
51300983116,ace,250,102
51301183218,gda,179,238
51301281802,gcf,19,271
51301282113,bae,127,199
51301301448,aea,194,295
51301328453,bgg,30,102
51301334511,aab,72,290
51301339548,bda,155,197
51301347054,eea,252,196
51301352908,aef,226,286
51301383635,fea,28,183
51301413207,bdb,106,249
51301416063,eeg,148,194
51301442946,fbd,281,155
51301500699,fdd,79,227
51301513950,fga,210,235
51301578626,ddc,14,19
51301587329,egd,222,70
51301656323,ege,254,252
51301658820,aed,128,149
51301679824,ecg,5,288
51301685545,dff,117,143
51301694925,ecc,98,141
51301703207,dee,39,168
51301723870,eaa,258,255
51301790775,cea,215,73
51301841283,ccc,119,224
51301895583,fdf,156,285
51301895705,dgg,266,236
51301896458,aea,249,321
51302033711,fdg,47,174
51302034420,eff,177,129
51302052330,eda,184,236
51302074521,dca,172,273
51302086005,dge,19,101
51302109771,afe,52,281
51302124220,gee,76,265
51302165595,ebe,110,45
51302171478,gff,220,55
51302178971,dge,272,104
51302179924,eca,183,144
51302185807,ebg,286,48
51302187390,ccf,260,23
51302191802,dec,220,28
51302195294,dbe,127,34
51302268112,fff,289,5
51302275262,ddc,42,18
51302280736,eed,56,19
51302286209,dab,38,82
51302297050,efa,139,224
51302300033,gaa,202,153
51302324972,ebd,41,166
51302358820,cee,269,119
51302424251,dab,128,79
51302442258,dgf,187,29
51302445942,cbe,233,64
51302453868,ggb,287,265
51302499952,dgg,116,269
51302500714,cdc,254,267
51302532625,abg,194,126
51302553784,gad,180,293
51302590931,gef,85,227
51302593163,ceg,256,280
51302605511,bec,74,181
51302606784,acf,107,164
51302612210,dce,62,85
51302612490,ade,130,206
51302634413,bfe,166,131
51302642571,bad,214,142
51302644250,ggc,51,132
51302678365,gdb,108,112
51302714497,fda,95,207
51302769446,ede,223,160
51302781738,bec,132,199
51302791491,dfb,241,241
51302801623,gca,133,15
51302803038,eca,136,149
51302837299,bdc,46,282
51302862783,bad,119,157
51302881583,bbc,203,98
51302951140,ged,126,242
51302959359,fee,193,32
51302985861,bbe,42,95
51302991622,fgg,71,10
51303003253,gfa,95,132
51303020361,fgd,187,250
51303064638,def,122,25
51303072917,afb,180,228
51303096170,dga,141,67
51303102625,cae,8,274
51303127092,cag,16,15
51303152845,acc,12,31
51303154049,cad,47,249
51303154069,efg,299,238
51303199507,cge,98,191
51303228260,bee,17,249
51303242633,ceg,163,308
51303279583,ege,44,264
51303311407,gdc,278,282
51303322174,eca,35,153
51303351983,gbg,79,38
51303373126,aac,72,135
51303374794,fgd,25,227
51303378964,ced,69,294
51303397804,gec,27,269
51303427552,cbc,173,275
51303452238,ade,178,238
51303479546,cea,182,68
51303482654,dbg,104,13
51303487144,bfb,165,44
51303489021,fbc,231,80
51303512591,deb,248,287
51303529939,abc,51,199
51303564752,gdd,199,205
51303580227,efe,59,44
51303626120,edg,197,117
51303644994,ede,214,140
51303646979,fca,119,101
51303695535,fed,126,20
51303705234,feg,189,285
51303716843,cgf,246,225
51303747883,fbf,227,245
51303750730,bff,76,206
51303777981,fed,207,20
51303788865,ffe,25,44
51303816569,aab,278,237
51303848011,ede,135,148
51303854433,bcf,291,31
51303874417,gag,138,232
51303888409,fag,120,248
51303889492,efa,131,253
51303898768,abf,157,5
51303907655,bbb,128,207
51303922604,cag,109,14
51303941584,ffg,227,108
51303975814,ceb,58,63
51303982055,gdg,151,96
51303987966,ddf,269,267
51304060306,eeg,168,219
51304159416,cgb,142,132
51304163702,dfc,169,100
51304198770,gfc,294,134
51304221049,dfc,294,86
51304228427,egb,154,104
51304240899,fbe,79,13
51304257911,fgf,150,48
51304297388,fdg,250,167
51304338650,ffa,199,119
51304346222,dbd,39,146
51304349325,cfd,1,89
51304356033,aaf,110,129
51304389056,efb,270,77
51304397393,bef,170,211
51304402929,bad,229,158
51304403263,dee,39,166
51304416013,cda,88,154
51304537250,faa,74,129
51304539943,fga,170,190
51304556125,eca,38,145
51304564790,ffc,245,144
51304567984,bgf,133,37
51304573396,beb,205,175
51304589620,dde,236,142
51304609169,bcc,291,179
51304618152,cdb,213,24
51304624048,gbd,100,116
51304665744,aec,198,50
51304700284,aec,188,41
51304711936,dfa,16,36
51304731790,bac,243,94
51304736001,fec,15,215
51304789761,feg,209,319
51304811387,ega,186,202
51304812284,bab,2,198
51304856045,eed,184,17
51304884164,gdd,43,178
51304923305,dgd,186,232
51304928899,fac,13,238
51304946358,fae,22,225
51304948115,dcg,54,204
51304960463,ccb,291,229
51304962241,dfe,184,257
51304981498,beg,196,57
51305009762,ddg,204,65
51305016227,eae,267,52
51305029034,cac,6,24
51305033642,adg,171,16
51305090821,cac,253,22
51305102516,edb,8,89
51305109184,eff,120,138
51305128725,ebg,17,52
51305132415,gbe,84,276
51305137011,eac,180,45
51305146144,bcd,35,243
51305147339,agf,263,141
51305148864,eeb,284,202
51305170756,fdg,224,156
51305190112,bae,126,169
51305193736,cfg,86,181
